user_id,post_count,reply_count,total_actions,total_likes_received,fans_count,nickname,pagerank_score,betweenness_score,in_degree_weighted,out_degree_weighted,burst_power,response_speed,active_duration,originality_score,sentiment_intensity
1170229657,1,0,1,208,,,0.07481656382739252,0.0,3,0,3.118473549846002,42.00194444444445,0.0,0.7556103998323191,0.050066269868235515
1499104401,1,0,1,7,,,0.038988597819979036,0.0,1,0,0.0885340877578989,43.702777777777776,0.0,0.6686200291093538,0.2300221142228627
1650933515,1,0,1,23,380000.0,扬帆锐评,0.05690258082368578,0.0,2,0,0.2771335430570721,44.1875,0.0,0.7514898464733124,0.2156972708911511
1651428902,1,2,3,188,,,0.02107461481627229,0.0,0,0,3.256610052064243,40.36472222222222,3.397500000000001,0.7404990562554108,0.07961125923989072
1655444627,1,0,1,1987,17987000.0,潇湘晨报,0.07481656382739252,0.0,3,0,36.39317447191481,40.0,0.0,0.7556103998323198,1.0
1751714412,1,0,1,42,4408000.0,大皖新闻,0.02107461481627229,0.0,0,0,1.164940040467579,35.85,0.0,0.7122437757566388,0.19868651943474355
2372548825,0,1,1,1,,,0.02107461481627229,0.0,0,1,0.01582408358068286,41.46222222222222,0.0,0.5,0.5
2460937233,1,0,1,58,12427000.0,热度新闻,0.02107461481627229,0.0,0,0,0.9242696379954933,41.39194444444445,0.0,0.6480652147842475,0.18436167610303192
2798500522,0,1,1,91,,,0.02107461481627229,0.0,0,1,1.6918654364542836,39.85027777777778,0.0,0.5,0.5
2803301701,1,0,1,6778,,,0.05690258082368578,0.0,2,0,181.18034342364743,36.21944444444444,0.0,0.6933381916613937,1.0
2820649511,0,1,1,0,,,0.02107461481627229,0.0,0,1,0.0,42.033055555555556,0.0,0.5,0.5
5027768184,0,1,1,0,,,0.02107461481627229,0.0,0,1,0.0,44.198055555555555,0.0,0.5,0.5
5286631678,0,1,1,1,,,0.02107461481627229,0.0,0,1,0.025587818287600286,36.65638888888889,0.0,0.5,0.5
5290857420,0,1,1,0,,,0.02107461481627229,0.0,0,1,0.0,42.03333333333333,0.0,0.5,0.5
5360514193,0,1,1,0,,,0.02107461481627229,0.0,0,1,0.0,41.62444444444444,0.0,0.5,0.5
5403096194,1,0,1,0,,,0.02107461481627229,0.0,0,0,0.0,44.15472222222222,0.0,0.7516157631872475,0.23628923318048653
5874650123,0,1,1,0,,,0.02107461481627229,0.0,0,1,0.0,44.24666666666667,0.0,0.5,0.5
5905799430,1,1,2,6,,,0.038988597819979036,0.0,1,0,0.07226224514593747,44.19111111111111,0.003055555555555145,0.7296703600622714,0.23270802234755864
6064509025,0,1,1,0,,,0.02107461481627229,0.0,0,1,0.0,44.29833333333333,0.0,0.5,0.5
6244553417,1,0,1,130,,,0.05690258082368578,0.0,2,0,3.8835771418343934,35.10777777777778,0.0,0.7076418562279996,0.11989988111032965
6283651049,0,1,1,0,,,0.02107461481627229,0.0,0,1,0.0,43.944722222222225,0.0,0.5,0.5
6286642432,1,2,3,121,,,0.02107461481627229,0.0,0,0,1.5000398507694117,43.901944444444446,0.007500000000000284,0.7216069639180058,0.15123547589844882
7184878260,0,1,1,2,,,0.02107461481627229,0.0,0,1,0.05162252019158451,36.56944444444444,0.0,0.5,0.5
7223243737,0,1,1,80,,,0.02107461481627229,0.0,0,1,1.4565263847864487,40.05972222222222,0.0,0.5,0.5
7376678893,1,0,1,0,,,0.02107461481627229,0.0,0,0,0.0,43.95166666666667,0.0,0.7072907814156537,0.23628923318048653
7479336267,0,1,1,198,,,0.02107461481627229,0.0,0,1,4.434706676039354,37.988055555555555,0.0,0.5,0.5
7511414202,0,1,1,62,,,0.02107461481627229,0.0,0,1,1.1284944339917624,40.0625,0.0,0.5,0.5
7565112387,0,1,1,10,,,0.02107461481627229,0.0,0,1,0.14950657502682446,42.03,0.0,0.5,0.5
7591173996,1,0,1,13,,,0.05690258082368578,0.0,2,0,0.17081712252965928,43.32111111111111,0.0,0.7514898464733125,0.22465029797347086
7730217402,1,0,1,23,,,0.038988597819979036,0.0,1,0,0.37199796498962084,41.243611111111115,0.0,0.7444302797051625,0.2156972708911511
7734095576,0,1,1,0,,,0.02107461481627229,0.0,0,1,0.0,43.934444444444445,0.0,0.5,0.5
7736541502,1,0,1,0,,,0.02107461481627229,0.0,0,0,0.0,44.28527777777778,0.0,0.7516157631872473,0.23628923318048653
7969697036,0,1,1,0,,,0.02107461481627229,0.0,0,1,0.0,43.71,0.0,0.5,0.5
