user_id,post_count,reply_count,total_actions,total_likes_received,fans_count,pagerank_score,betweenness_score,in_degree_weighted,out_degree_weighted,burst_power,response_speed,active_duration,originality_score,sentiment_intensity
1078779184,1,0,1,16,875000.0,0.002627008464682364,0.0,2,0,0.32322348927615896,39.02,0.0,0.9482605867934877,0.19970070165118792
1112339441,0,1,1,0,,0.0009725459957235086,0.0,0,1,0.0,36.13111111111111,0.0,0.5,0.5
1141604120,0,1,1,0,,0.0009725459957235086,0.0,0,1,0.0,37.94555555555556,0.0,0.5,0.5
1144835313,0,1,1,0,,0.0009725459957235086,0.0,0,1,0.0,38.29805555555556,0.0,0.5,0.5
1197199510,1,0,1,5515,5786000.0,0.0017997772302029364,0.0,1,0,1665.4752890644818,11.973611111111111,0.0,0.9664521754188699,1.0
1237630473,1,0,1,255,1283000.0,0.002627008464682364,0.0,2,0,7.226563017173431,35.635,0.0,0.8910264786254845,0.0417938154481787
1237974537,0,1,1,1,,0.0009725459957235086,0.0,0,1,0.018283106679019882,40.01777777777778,0.0,0.5,0.5
1257604687,0,1,1,9,,0.0009725459957235086,0.0,0,1,0.30664848100335396,33.79277777777778,0.0,0.5,0.5
1266856927,0,1,1,2,,0.0009725459957235086,0.0,0,1,0.038024694079841104,39.626666666666665,0.0,0.5,0.5
1273786791,1,0,1,0,1065.0,0.0009725459957235086,0.0,0,0,0.0,40.19888888888889,0.0,0.7433608068477038,0.2102718739492973
1281987492,0,1,1,2,,0.0009725459957235086,0.0,0,1,0.048411422738708035,37.211666666666666,0.0,0.5,0.5
1288429914,2,0,2,0,2456000.0,0.0009725459957235086,0.0,0,0,0.0,39.43361111111111,1.3999999999999986,0.8857462476405014,0.2102718739492973
1314608344,1,0,1,7,40525000.0,0.0009725459957235086,0.0,0,0,0.14043946462243995,39.08888888888889,0.0,0.9492284307181007,0.20564698606887444
1400497892,1,0,1,0,1092000.0,0.0009725459957235086,0.0,0,0,0.0,39.175,0.0,0.939339637719079,0.2102718739492973
1400909210,0,1,1,2,,0.0009725459957235086,0.0,0,1,0.05669939671064446,35.631388888888885,0.0,0.5,0.5
1401579593,1,0,1,441,8338.0,0.0034542396991617914,0.0,3,0,14.42618380810773,34.2,0.0,0.9088829136263601,0.08109606251734311
1408309864,0,1,1,0,,0.0009725459957235086,0.0,0,1,0.0,40.804722222222225,0.0,0.5,0.5
1410064433,1,0,1,16,599000.0,0.0017997772302029364,0.0,1,0,0.2795333984453598,40.47222222222222,0.0,0.9138514749516824,0.19970070165118792
1411163204,1,0,1,112,6152000.0,0.002627008464682364,0.0,2,0,2.904464021730103,36.5225,0.0,0.9267534256133444,0.13627366786253148
1412984193,0,1,1,0,,0.0009725459957235086,0.0,0,1,0.0,38.30138888888889,0.0,0.5,0.5
1434970421,0,1,1,4,,0.0009725459957235086,0.0,0,1,0.08170418263983749,38.909444444444446,0.0,0.5,0.5
1460025233,0,1,1,0,,0.0009725459957235086,0.0,0,1,0.0,39.84388888888889,0.0,0.5,0.5
1485873580,0,1,1,1,,0.0009725459957235086,0.0,0,1,0.0229434629409967,37.74722222222222,0.0,0.5,0.5
1498396803,1,0,1,5,2381000.0,0.0009725459957235086,0.0,0,0,0.09244462883412446,39.905833333333334,0.0,0.9219909430689887,0.20696838260613812
1526202781,1,0,1,1196,4658000.0,0.0034542396991617914,0.0,3,0,32.149747639360186,36.163333333333334,0.0,0.8959911358660535,0.5799232553343805
1563458343,1,0,1,209,3133000.0,0.0034542396991617914,0.0,3,0,5.9433841680831625,35.60055555555556,0.0,0.8970433044855395,0.07218593580524324
1566128791,0,1,1,1,,0.0009725459957235086,0.0,0,1,0.02415734832577989,37.23166666666667,0.0,0.5,0.5
1572124851,0,1,1,13,,0.0009725459957235086,0.0,0,1,0.35513933023093297,36.00194444444445,0.0,0.5,0.5
1575078622,1,0,1,4,6149.0,0.0017997772302029364,0.0,1,0,0.08349839564833318,38.69222222222222,0.0,0.9320478767145552,0.20762908087476994
1581579097,0,1,1,0,,0.0009725459957235086,0.0,0,1,0.0,39.54138888888889,0.0,0.5,0.5
1590383563,0,1,1,0,,0.0009725459957235086,0.0,0,1,0.0,40.566944444444445,0.0,0.5,0.5
1618051664,1,0,1,5,110000000.00000001,0.0009725459957235086,0.0,0,0,0.09511456194745152,39.62111111111111,0.0,0.9136256183757849,0.20696838260613812
1638832591,1,0,1,209,616000.0,0.0026860964100023236,0.0,3,0,4.010618075875598,39.53388888888889,0.0,1.0,0.07218593580524324
1642585887,1,1,2,468,4645000.0,0.003513327644481751,0.0,4,0,16.51734944178885,33.3975,5.146111111111111,0.9228305392068065,0.09563142442724352
1642634100,2,0,2,2192,23789000.0,0.004340558878961179,0.0,5,0,88.57811701025582,31.884722222222223,6.284999999999997,0.906157951335707,0.5740831183489523
1643971635,1,0,1,10417,14966000.0,0.0034542396991617914,0.0,3,0,359.5328238248214,33.66388888888889,0.0,0.8787961890227096,1.0
